nID,source,bias,feedback,URL
196,The Canyon County Zephyr,left,197/158 somewhat agree,http://www.canyoncountryzephyr.com/
452,The Catalyst,right-center,12/19 disagree,https://www.bushcenter.org/catalyst/
197,The Center for American Progress,left-center,20/46 strongly disagree,https://www.americanprogress.org/
249,The Center Square,right-center,589/633 somewhat disagree,https://www.thecentersquare.com/
198,The Christian Post,right-center,25/23 somewhat agree,https://www.christianpost.com/
454,The College Fix,right,259/204 somewhat agree,https://www.thecollegefix.com/
199,The Colorado Sun,left-center,42/36 somewhat agree,https://coloradosun.com/
455,The Columbus Dispatch,center,14/18 somewhat disagree,https://www.dispatch.com/
200,The Commercial Appeal,left-center,192/248 somewhat disagree,http://www.commercialappeal.com/
456,The Conversation,left-center,58/120 strongly disagree,https://theconversation.com/
201,The Courier-Journal,left-center,240/342 somewhat disagree,http://www.courier-journal.com/
457,The Daily Caller,right,9943/3976 strongly agree,http://dailycaller.com/
202,The Daily Dot,left-center,145/135 somewhat agree,https://www.dailydot.com/
458,The Daily Signal,right,560/223 strongly agree,https://www.dailysignal.com/
203,The Daily Wire,right,10611/3803 strongly agree,http://www.dailywire.com/
459,The Dallas Morning News,center,235/253 somewhat disagree,http://www.dallasnews.com/
204,The Delaware County Daily Times,left-center,226/263 somewhat disagree,http://www.delcotimes.com/
460,The Dispatch,right-center,232/147 agree,https://thedispatch.com/
205,The Economist,left-center,5875/9990 disagree,http://www.economist.com/
461,The Epoch Times,right-center,11336/5436 strongly agree,https://www.theepochtimes.com/
206,The Federalist,right,9088/2780 absolutely agree,http://thefederalist.com/
462,The Flip Side,allsides,429/319 somewhat agree,https://www.theflipside.io/
207,The Fulcrum,center,161/153 somewhat agree,https://thefulcrum.us/
463,The Gateway Pundit,right,1060/537 agree,http://www.thegatewaypundit.com/
208,The Globe and Mail,center,146/177 somewhat disagree,https://www.theglobeandmail.com/
464,The Guardian,left-center,13524/8207 agree,https://www.theguardian.com/us
209,The Heritage Foundation,right-center,3031/1706 agree,http://www.heritage.org/
465,The Hill,center,16008/21400 somewhat disagree,https://www.thehill.com/
210,The Hollywood Reporter,left-center,54/51 somewhat agree,https://www.hollywoodreporter.com/
466,The Imaginative Conservative,right,105/67 agree,https://theimaginativeconservative.org/
211,The Independent,left-center,565/401 somewhat agree,https://www.independent.co.uk/
467,The Intercept,left,5493/1605 absolutely agree,https://theintercept.com/
212,The Japan Times,center,38/32 somewhat agree,https://www.japantimes.co.jp/
468,The Jerusalem Post,center,287/305 somewhat disagree,https://www.jpost.com/
213,The Juggernaut,left,20/13 agree,https://www.thejuggernaut.com/
469,The Justice,left-center,166/178 somewhat disagree,http://www.thejustice.org/
214,The Korea Herald,center,226/168 somewhat agree,http://www.koreaherald.com/
470,The Libertarian Republic,right-center,894/754 somewhat agree,http://thelibertarianrepublic.com/
215,The Lincoln Project,allsides,42/234 absolutely disagree,https://lincolnproject.us/
471,The Lufkin Daily News,center,14/11 somewhat agree,http://www.lufkindailynews.com/
531,The Maneater,left-center,17/14 somewhat agree,https://www.themaneater.com/
521,The Markup,center,1009/660 agree,https://themarkup.org/
216,The Marshall Project,center,50/78 disagree,https://www.themarshallproject.org/
472,The Nation,left,1609/492 absolutely agree,http://www.thenation.com/
217,The National Pulse,right,468/115 absolutely agree,https://thenationalpulse.com/
473,The New Yorker,left,9390/2260 absolutely agree,https://www.newyorker.com/
218,The Observer,center,252/450 disagree,http://observer.com/
474,The Onion,left-center,400/211 agree,https://www.theonion.com/
219,The Oracle,center,117/144 somewhat disagree,http://www.usforacle.com/
475,The Oregonian,center,45/126 strongly disagree,https://www.oregonlive.com/
220,The Philadelphia Inquirer,left-center,251/242 somewhat agree,http://www.philly.com/
221,The Police Tribune,right-center,67/52 somewhat agree,https://bluelivesmatter.blue/
477,The Post Millennial,right-center,347/238 somewhat agree,https://www.thepostmillennial.com/
222,The Press-Enterprise,right-center,19/21 somewhat disagree,https://www.pe.com/
478,The Red and Black,center,199/147 somewhat agree,http://www.redandblack.com/
223,The Reliable Bias,center,156/186 somewhat disagree,http://reliablebias.com/home/
479,The Reporters Committee for Freedom of the Press,center,24/18 somewhat agree,https://www.rcfp.org/
224,The Republican,center,251/525 strongly disagree,https://www.therepublicannews.com/
480,The Resurgent,right,151/119 somewhat agree,https://theresurgent.com/
225,The Root,left-center,442/547 somewhat disagree,https://www.theroot.com/
481,The Sacramento Bee,left-center,359/440 somewhat disagree,http://www.sacbee.com/
226,The Saturday Evening Post,center,230/171 somewhat agree,https://www.saturdayeveningpost.com/
482,The Seattle Times,center,194/376 disagree,https://www.seattletimes.com/
227,The Sierra Club,left-center,179/272 disagree,https://www.sierraclub.org/
483,The South African,center,9/11 somewhat disagree,https://www.thesouthafrican.com/
228,The Telegraph - UK,right-center,1746/800 strongly agree,http://www.telegraph.co.uk/
484,The Tennesseean,center,20/21 somewhat disagree,https://www.tennessean.com/
229,The Texan,right-center,157/119 somewhat agree,https://thetexan.news/
485,The Texas Observer,left-center,77/79 somewhat disagree,https://www.texasobserver.org/
230,The Texas Tribune,left-center,499/229 strongly agree,https://www.texastribune.org/
486,The Thread,allsides,53/55 somewhat disagree,https://www.thethreadweekly.com/
231,The Times-Picayune,center,20/37 disagree,http://www.nola.com/
487,The Verge,left-center,828/549 agree,http://www.theverge.com/
232,The Week,left-center,3810/3185 somewhat agree,http://theweek.com/
233,The Weekly Standard,right,1377/839 agree,http://www.weeklystandard.com/
489,The Western Journal,right,1753/575 absolutely agree,http://www.westernjournalism.com/
234,TheBlaze.com,right,99804/80313 somewhat agree,http://www.theblaze.com/
490,ThinkProgress,left,2766/924 strongly agree,http://thinkprogress.org/
235,Time Magazine,left-center,9360/7833 somewhat agree,http://www.time.com/
491,Townhall,right,9695/14030 somewhat disagree,http://townhall.com/
236,Trains,center,22/32 somewhat disagree,https://www.trains.com/
492,Truthdig,left,106/51 strongly agree,https://www.truthdig.com/
237,TruthOut,left-center,449/461 somewhat disagree,http://www.truth-out.org/
493,U.S. News and World Report,left-center,1851/1963 somewhat disagree,http://www.usnews.com/
238,United States Courts,center,237/326 somewhat disagree,http://www.uscourts.gov/
494,Univision,left-center,561/579 somewhat disagree,http://www.univision.com/
239,Unwoke Narrative,right-center,1/0 absolutely agree,https://www.unwokenarrative.com/
495,Upworthy,left,518/352 somewhat agree,http://upworthy.com/
532,Urban Institute,left-center,565/455 somewhat agree,https://www.urban.org/
522,USA TODAY,left-center,1082/823 somewhat agree,https://www.usatoday.com/
240,Vanity Fair,left-center,3713/2489 somewhat agree,http://www.vanityfair.com/
496,Variety,center,30/89 strongly disagree,https://variety.com/
241,Vice,left,3273/837 absolutely agree,https://www.vice.com/
497,Virginia Mercury,center,46/53 somewhat disagree,https://www.virginiamercury.com/
242,Voice of America,center,171/176 somewhat disagree,http://voanews.com/
498,Volante,center,174/191 somewhat disagree,http://volanteonline.com/
243,Vote Smart,center,241/252 somewhat disagree,http://www.votesmart.org/
499,Vox,left,29523/14983 agree,http://www.vox.com/
244,VT Digger,left-center,216/240 somewhat disagree,http://vtdigger.org/
500,Wake Up to Politics,center,103/89 somewhat agree,http://www.wakeuptopolitics.com/
245,Wall Street Journal,center,21944/24866 somewhat disagree,http://online.wsj.com/
246,WANDTV,center,74/77 somewhat disagree,https://www.wandtv.com/
502,Washington Examiner,right-center,12396/5713 strongly agree,http://washingtonexaminer.com/
247,Washington Free Beacon,right,739/599 somewhat agree,http://freebeacon.com/
503,Washington Monthly,left-center,314/281 somewhat agree,http://washingtonmonthly.com/
248,Washington Post,left-center,35729/24410 somewhat agree,https://www.washingtonpost.com/
504,Washington Times,right-center,28053/13401 strongly agree,http://www.washingtontimes.com/
505,WFAE,center,203/222 somewhat disagree,http://wfae.org/
250,WGBH,center,408/375 somewhat agree,http://news.wgbh.org/
506,WGN,center,164/182 somewhat disagree,https://wgntv.com/
251,Whatfinger News,right,229/171 somewhat agree,https://www.whatfinger.com/
507,Whitehouse,right-center,535/696 somewhat disagree,http://www.whitehouse.gov/
252,Whittier Daily News,center,18/21 somewhat disagree,https://www.whittierdailynews.com/
508,Wired,center,354/534 disagree,https://www.wired.com/
253,Wisconsin Gazette,left-center,256/230 somewhat agree,http://wisconsingazette.com/
509,WND.com,right,830/328 strongly agree,http://www.wnd.com/
254,World Wildlife,center,21/20 somewhat agree,https://www.worldwildlife.org/
255,Yahoo News,allsides,188/314 disagree,https://news.yahoo.com/
510,Yahoo!,left-center,3924/2578 agree,https://www.yahoo.com/
511,Yes! Magazine,left,463/246 agree,http://www.yesmagazine.org/
533,ZeroHedge,right-center,166/114 somewhat agree,http://zerohedge.com/
